OBJECTID,Shape,Block group id,EnviroAtlas Community Code,NO2_Hospital_Admissions_VValue of hospital admissions avoided due to nitrogen dioxide removed ($/yr),Asthma exacerbation avoided due to nitrogen dioxide removed (cases/yr),Value of asthma exacerbation cases avoided due to nitrogen dioxide removed ($/yr),Acute respiratory symptoms avoided due to ozone removed (cases/yr),Value of mortality avoided due to ozone removed ($/yr),School days not lost to illness due to ozone removed (days/yr),Value of school days not lost to illness due to ozone removed ($/yr),Acute respiratory symptoms avoided due to particulate matter [PM2.5] removed (cases/yr),Value of mortality avoided due to particulate matter [PM2.5] removed ($/yr),Asthma exacerbation avoided due to sulfur dioxide removed (cases/yr),Value of asthma exacerbation cases avoided due to sulfur dioxide removed ($/yr),Value of hospital admissions avoided due to sulfur dioxide removed ($/yr),Total Population,Population under 1 year old,Percent population under 1 year old,Population under 13 years old,Percent population under 13 years old,Population over 70 years old,Percent population over 70 years old,"Population other than White, non-Hispanic","Percent population other than White, non-Hispanic",Population with income below twice the US poverty level,Percent population with income below twice the US poverty level,Number of day care centers,Value of hospital admissions avoided due to nitrogen dioxide removed ($/yr),Number of schools (K-12),K-12 schools with < 25 percent green space in viewshed,Total carbon stored (kg),Total carbon sequestered (kg/yr),Value of carbon stored ($),Value of carbon sequestered ($/yr),Average reduction in nighttime ambient temperature (Celsius),Average reduction in daytime ambient temperature (Celsius),Carbon monoxide (kg/yr),Nitrogen dioxide (kg/yr),Ozone (kg/yr),Particulate matter [PM2.5] (kg/yr),Sulfur dioxide (kg/yr),Particulate matter [PM10] (kg/yr),"Value of health, ecosystem, and materials damage avoided due to particulate matter [PM10] removed ($/yr)","Value of health, ecosystem, and materials damage avoided due to carbon monoxide removed ($/yr)",Percent reduction in annual runoff,Reduction in annual runoff (m3/yr),Reduction in median load of total suspended solids [TSS] (kg/yr),Reduction in median biochemical oxygen demand [BOD5] (kg/yr),Reduction in median chemical oxygen demand [COD] (kg/yr),Reduction in median load of total phosphorus (kg/yr),Reduction in median load of soluble phosphorus (kg/yr),Reduction in median load of total Kjeldahl nitrogen [TKN] (kg/yr),Reduction in median load of nitrites and nitrates (kg/yr),Reduction in median load of copper (kg/yr),Reduction in mean load of total suspended solids [TSS] (kg/yr),Reduction in mean biochemical oxygen demand [BOD5] (kg/yr),Reduction in mean chemical oxygen demand [COD] (kg/yr),Reduction in mean load of total phosphorus (kg/yr),Reduction in mean load of soluble phosphorus (kg/yr),Reduction in mean load of total Kjeldahl nitrogen [TKN] (kg/yr),Reduction in mean load of nitrites and nitrates (kg/yr),Reduction in mean load of copper (kg/yr),Total carbon stored (mt),Total carbon sequestered (mt/yr),Percent tree cover,Percent impervious area,Percent green space,Percent agriculture,Percent wetlands,Tree cover per capita (m2/person),Impervious area per capita (m2/person),Green space per capita (m2/person),Agricultural land per capita (m2/person),Total land area in 50m buffer (m2),Percent land area in 50m buffer,Percent impervious area in 50m buffer,Percent tree cover in 50m buffer,Percent vegetated cover in 50m buffer,Total land area in 15m buffer (m2),Percent land area in 15m buffer,Percent impervious area in 15m buffer,Percent tree cover in 15m buffer,Percent vegetated cover in 15m buffer,Residential population within 300m of busy roadway with < 25 percent tree buffer,Residential population within 300m of busy roadway with > 25 percent tree buffer,Residential population within 300m of busy roadway,Percent of residential population within 300m of busy roadway,Percent of busy roadway bordered by > 25 percent tree buffer,Percent of busy roadway bordered by < 25 percent tree buffer,Residential population within 500m of a park entrance,Residential population not within 500m of a park entrance,Percent of residential population within 500m of a park entrance,Percent of residential population not within 500m of a park entrance,Residential population with minimal views of trees,Percent of residential population with minimal views of trees,Residential population with views of water,Percent of residential population with views of water,Number of historic places,Percent carbon monoxide removed annually by tree cover,Percent nitrogen dioxide removed annually by tree cover,Percent ozone removed annually by tree cover,Percent particulate matter [PM10] removed annually by tree cover,Percent particulate matter [PM2.5] removed annually by tree cover,Percent sulfur dioxide removed annually by tree cover,Daily domestic use (x1000 gal/day),bgrp,Land area in 1% Annual Chance Flood Hazard area - Area (m2),Land area in 1% Annual Chance Flood Hazard area - Percent,Land area in 0.2% Annual Chance Flood Hazard area - Area (m2),Land area in 0.2% Annual Chance Flood Hazard area - Percent,Impervious surface in 1% Annual Chance Flood Hazard area - Area (m2),Impervious surface in 1% Annual Chance Flood Hazard area - Percent,Impervious surface in 0.2% Annual Chance Flood Hazard area - Area (m2),Impervious surface in 0.2% Annual Chance Flood Hazard area - Percent,Population in 1% Annual Chance Flood Hazard area - Total,Population in 1% Annual Chance Flood Hazard area - Percent,Population in 0.2% Annual Chance Flood Hazard area - Total,Population in 0.2% Annual Chance Flood Hazard area - Percent,EnviroAtlas Community Name,State FIPS,County FIPS,Tract FIPS,ALAND10,AWATER10,ORIG_FID,x,y
1377,,390351029001,CleOH,31.66330068,0.506055256,42.57111395,0.429963987,2467.581643,0.235602807,23.1338837,0.24141907,6914.820192,0.089284117,7.021991148,21.33358317,922,20,2.1691999435424805,197,21.366600036621094,47,5.097609996795654,606,65.72668112798264,660,83.01886792452831,0,-99999,1,1,309422.53,9978.776,24289.668605,783.333916,0.208037376404,0.386945724487,5.08464037004,46.51692042,189.674668476,15.1342352063,37.1136102814,51.3455672036,364.390584864,7.67642714348,0.428071,401.54332,21.884111,4.617748,17.948986,0.104,0.041359,0.590269,0.214023,0.004457,31.480996,5.661761,21.201487,0.126486,0.051799,0.69467,0.264216,0.005421,309.42253000000005,9.978776,14.75,69.62999725341797,29.850000381469727,-888888,0,43.64,206.09,88.36,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,915,0,915,99.23999786376953,3.390000104904175,96.61000061035156,519,403,56.290000915527344,43.709999084472656,3,0.33000001311302185,0,0,0,0.000510651171414,0.0778669416402,0.113825215879,0.162079319248,0.0648219343635,0.0857125927459,66.38400268554688,390351029001,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,102900,273127,0,1377,,
1378,,390351029002,CleOH,50.02422153,0.799510945,67.25763548,0.679313379,3898.603387,0.372235232,36.54984705,0.381420057,10924.78363,0.141059186,11.09397791,33.70463636,1039,14,1.3474500179290771,197,18.960500717163086,63,6.0635199546813965,710,68.33493743984602,885,79.51482479784366,0,-99999,0,-99999,383823.28,12378.176,30130.12748,971.686816,0.259908109903,0.486685454845,6.30724383402,57.7016306322,235.284140906,18.773267083,46.0375991498,63.6916258734,452.008421894,9.52222659705,0.776439,372.336632,20.292346,4.281871,16.643447,0.096435,0.038351,0.547335,0.198455,0.004133,29.191192,5.249947,19.659374,0.117286,0.048031,0.644142,0.244998,0.005027,383.82328,12.378176,20.670000076293945,55.4900016784668,44.5099983215332,-888888,0,48.04,128.93,103.44,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,910,0,910,87.58000183105469,2.619999885559082,97.37999725341797,913,126,87.87000274658203,12.130000114440918,0,0,0,0,0,0.000715926274842,0.109067947482,0.159308217937,0.226837270243,0.089629971271,0.119964194657,74.80799865722656,390351029002,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,102900,241577,0,1378,,
1380,,390351033001,CleOH,28.72114428,0.387624718,32.15148076,0.488926862,2476.856159,0.16849334,16.54439252,0.274113398,7351.426344,0.101927442,8.020652412,23.23645417,2222,49,2.2052199840545654,500,22.502300262451172,37,1.6651699542999268,1730,77.85778577857786,1059,72.1881390593047,1,0,1,1,240604.72,7759.424,18887.47052,609.114784,0.085851944983,0.157602250576,4.37984006039,36.1730965161,147.514625275,11.757580329,37.4131944178,40.1576544411,284.991908465,6.61236993708,0.15992,328.261504,17.890252,3.775007,14.673289,0.08502,0.033811,0.482544,0.174963,0.003644,25.735702,4.628487,17.332207,0.103402,0.042346,0.567892,0.215996,0.004432,240.60472000000001,7.759424,6.139999866485596,74.87999725341797,18.610000610351562,-888888,0,14.08,171.71,42.68,-888888,97203,19.079999923706055,68.12000274658203,4.119999885559082,10.619999885559082,27167,5.329999923706055,67.58999633789062,2.990000009536743,11.300000190734863,2090,100,2190,98.55999755859375,10.899999618530273,89.0999984741211,2145,77,96.52999877929688,3.4700000286102295,40,1.7999999523162842,217,9.770000457763672,6,0.000200689332361,0.0324685318286,0.0475180391484,0.0684906020146,0.0275195917526,0.0393720688146,159.98399353027344,390351033001,1790,0.3499999940395355,0,0,966,53.970001220703125,-99999,-99999,0.5199999809265137,0.019999999552965164,-99999,-99999,"Cleveland, OH",39,035,103300,503612,70710,1380,,
1386,,390351036021,CleOH,21.87386837,0.085753868,7.183642526,0.32301476,1470.922223,0.038106764,3.741710262,0.180734448,5809.611139,0.018972455,1.492937838,15.43464042,833,4,0.48019200563430786,60,7.202879905700684,105,12.604999542236328,320,38.41536614645859,155,29.026217228464418,0,-99999,0,-99999,1017194.75,32804.2,79849.787875,2575.1297,0.121609650552,0.227686807513,18.5164709786,152.924049805,623.576033649,49.6298551077,158.170521222,169.704357553,1204.36239136,27.9548463761,0.389985,934.717062,50.94208,10.749246,41.781853,0.242092,0.096276,1.374034,0.498204,0.010375,73.281818,13.179511,49.353061,0.294436,0.120579,1.617061,0.615044,0.012619,1017.19475,32.804199999999994,9.729999542236328,52.11000061035156,31.540000915527344,-888888,0,158.79,850.17,514.63,-888888,269515,19.829999923706055,46.650001525878906,6.389999866485596,23.450000762939453,65821,4.840000152587891,45.150001525878906,5.800000190734863,27.420000076293945,763,58,821,98.55999755859375,18.479999542236328,81.5199966430664,833,0,100,0,44,5.28000020980835,0,0,13,0.000318100379042,0.0514345382616,0.0752348975653,0.107894288239,0.0431090090029,0.0623440742509,59.97600173950195,390351036021,89968,6.619999885559082,0,0,45400,50.459999084472656,-99999,-99999,0,0,-99999,-99999,"Cleveland, OH",39,035,103602,1366152,1313815,1386,,
1387,,390351036022,CleOH,35.25186015,0.1381995,11.57703354,0.520551952,2370.447882,0.061411089,6.0299663,0.291257202,9362.305347,0.026519652,2.085708297,21.69446597,636,6,0.9433959722518921,36,5.660379886627197,37,5.817609786987305,163,25.628930817610062,124,30.845771144278604,0,-99999,1,1,387483.72,12496.224,30417.47202,980.953584,0.281127005816,0.530008435249,6.83016971055,58.2548916049,237.541432405,18.9056823978,46.4767654715,64.6461021992,458.78217483,10.3117027646,0.608985,495.868266,27.024821,5.702485,22.165312,0.12843,0.051074,0.728926,0.264298,0.005504,38.876072,6.991743,26.181844,0.156199,0.063967,0.857852,0.326281,0.006694,387.48371999999995,12.496224,20.540000915527344,69,31,-888888,0,79.23,266.1,119.58,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,606,17,623,97.95999908447266,25.530000686645508,74.47000122070312,636,0,100,0,28,4.400000095367432,0,0,5,0.000692784422619,0.10837944719,0.158301534954,0.227001202631,0.0886728652665,0.119206029046,45.79199981689453,390351036022,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,103602,245455,0,1387,,
1388,,390351036023,CleOH,68.95208652,0.270317171,22.64459548,1.018220623,4636.688755,0.120122309,11.79483196,0.569705104,18312.86266,0.051872162,4.079622063,42.43412533,869,11,1.265820026397705,83,9.551210403442383,45,5.178369998931885,306,35.21288837744534,317,33.12434691745037,1,0,2,0,657833.36,21214.912,51639.91876,1665.370592,0.401290535927,0.749427318573,11.9748478049,98.8990972465,403.278753235,32.0962867158,78.9036837143,109.750062843,778.877160508,18.0787705794,1.242732,514.60048,28.045726,5.917906,23.002641,0.133282,0.053004,0.756463,0.274282,0.005712,40.344678,7.255867,27.170905,0.162099,0.066383,0.890259,0.338607,0.006947,657.83336,21.214912,29.40999984741211,46.939998626708984,52.849998474121094,-888888,0,98.44,157.12,176.9,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,585,269,854,98.2699966430664,43.380001068115234,56.619998931884766,868,1,99.87999725341797,0.11999999731779099,0,0,0,0,4,0.000961141338722,0.154937486212,0.226039733429,0.324119157917,0.124402206946,0.170219033125,62.56800079345703,390351036023,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,103602,291137,0,1388,,
1389,,390351036024,CleOH,60.33136039,0.236520325,19.81340915,0.891182779,4057.909775,0.105116142,10.32137363,0.498458945,16022.69339,0.045386334,3.569529854,37.12854503,916,7,0.7641919851303101,61,6.659389972686768,52,5.6768598556518555,641,69.97816593886463,897,84.70254957507082,0,-99999,0,-99999,748683.02,24144.784,58771.61707,1895.365544,0.295095473528,0.564438581467,13.197024345,112.559975977,459.018322793,36.5289240867,89.8006389262,124.907025838,886.443497998,19.9239254938,1.052286,571.353895,31.138787,6.57057,25.539519,0.147981,0.058849,0.83989,0.304532,0.006342,44.794145,8.05609,30.167486,0.179976,0.073705,0.988442,0.375951,0.007713,748.68302,24.144784,24.40999984741211,45.88999938964844,53.91999816894531,-888888,0,106.29,199.83,234.76,-888888,41080,10.300000190734863,25.479999542236328,40.68000030517578,74.16000366210938,7322,1.840000033378601,12.579999923706055,71.8499984741211,87.41999816894531,884,28,912,99.55999755859375,18.940000534057617,81.05999755859375,790,126,86.23999786376953,13.760000228881836,18,1.9700000286102295,44,4.800000190734863,2,0.000823209442032,0.12870678081,0.187903044002,0.269430486894,0.104432641258,0.141491021504,65.9520034790039,390351036024,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,103602,402481,32106,1389,,
1390,,390351038001,CleOH,56.32338093,0.811860698,68.00383659,0.792021248,4367.575933,0.36176323,35.52159921,0.445684619,12844.83143,0.156064047,12.27407417,37.8025027,1056,19,1.799239993095398,242,22.91670036315918,45,4.261360168457031,622,58.90151515151515,618,62.99694189602446,0,-99999,1,0,891286.38,28743.696,69965.98083,2256.380136,0.291592031717,0.546034097672,14.6462208457,133.990262393,546.354061405,43.6516234605,106.903662193,148.175556009,1051.57622084,22.1118189424,0.926869,766.882158,41.795078,8.819145,34.279632,0.198622,0.078989,1.127317,0.408748,0.008512,60.123561,10.813038,40.491378,0.241568,0.098928,1.326706,0.504608,0.010353,891.28638,28.743696,22.790000915527344,50.290000915527344,49.29999923706055,-888888,0,109.76,242.22,237.43,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,1039,7,1046,99.05000305175781,17.31999969482422,82.68000030517578,976,80,92.41999816894531,7.579999923706055,1,0.09000000357627869,0,0,0,0.000789146441096,0.120182775162,0.175492364665,0.249491511122,0.0982149020475,0.13215175958,76.03199768066406,390351038001,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,103800,508927,0,1390,,
1391,,390351038002,CleOH,53.86893192,0.776482703,65.0404716,0.757503497,4177.234882,0.345996349,33.97344625,0.426266438,12285.1907,0.14926141,11.73905997,36.15460779,937,9,0.9605119824409485,155,16.542200088500977,47,5.01600980758667,436,46.53148345784419,793,69.9294532627866,3,0,1,0,678081.13,21867.896,53229.368705,1716.629836,0.318735033274,0.591674685478,11.9524688229,101.937999474,415.657624362,33.2096875108,81.3300805184,112.730375681,800.027923805,18.0449843896,1.117863,522.30838,28.465807,6.006546,23.347185,0.135278,0.053798,0.767793,0.27839,0.005798,40.948977,7.364548,27.577882,0.164527,0.067378,0.903593,0.343679,0.007051,678.08113,21.867896000000002,24.559999465942383,45.0099983215332,52.470001220703125,-888888,0,94.11,172.46,201.01,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,910,1,911,97.2300033569336,25.90999984741211,74.08999633789062,934,3,99.68000030517578,0.3199999928474426,0,0,0,0,2,0.00082838749139,0.129508369485,0.189064090478,0.268786204375,0.10543828437,0.142372044784,67.46399688720703,390351038002,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,103800,359253,0,1391,,
1392,,390351039001,CleOH,49.84883732,0.59857899,50.25405759,0.689962411,3746.539568,0.278164494,27.31302373,0.387577116,11379.6146,0.110009157,8.651966885,32.89518727,1012,19,1.8774700164794922,193,19.07110023498535,55,5.434780120849609,730,72.13438735177866,791,77.32160312805473,0,-99999,0,-99999,726028.28,23414.176,56993.21998,1838.012816,0.267322093248,0.504301130772,12.7976895834,109.153246769,445.085618858,35.5442797413,87.0859054778,120.687447982,856.49788582,19.3210383709,0.767066,651.434199,35.503164,7.491493,29.119109,0.168721,0.067098,0.957608,0.347214,0.007231,51.072441,9.185222,34.395726,0.205202,0.084035,1.126981,0.428644,0.008794,726.02828,23.414176,20.399999618530273,52.61000061035156,47.38999938964844,-888888,0,93.29,240.62,216.75,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,990,0,990,97.83000183105469,12.4399995803833,87.55999755859375,325,687,32.11000061035156,67.88999938964844,2,0.20000000298023224,0,0,0,0.000687912257993,0.107620603626,0.157197915576,0.224464820621,0.0882691348609,0.118375465236,72.86399841308594,390351039001,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,103900,463217,0,1392,,
1393,,390351039002,CleOH,63.19247981,0.758809521,63.70631224,0.874655725,4749.442347,0.352624378,34.62425365,0.491331661,14425.94189,0.139455027,10.96781301,41.69994406,1030,17,1.6504900455474854,171,16.601900100708008,64,6.213590145111084,630,61.165048543689316,805,81.7258883248731,0,-99999,1,0,1035104.76,33381.792,81255.72366,2620.470672,0.334756404161,0.612524569035,18.2457760522,155.619848262,634.559169834,50.6757851788,124.157273462,172.065132062,1221.11639858,27.5461704955,1.028605,848.006435,46.216351,9.752074,37.905888,0.219634,0.087345,1.246569,0.451987,0.009413,66.483705,11.956891,44.77474,0.267122,0.109393,1.467051,0.557988,0.011448,1035.10476,33.381792000000004,25.40999984741211,48.650001525878906,51.09000015258789,-888888,0,130.68,250.24,262.77,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,900,38,938,91.06999969482422,11.0600004196167,88.94000244140625,860,170,83.5,16.5,1,0.10000000149011612,0,0,3,0.000856821188031,0.133940960199,0.195511810229,0.279170328847,0.108690632888,0.147228818285,74.16000366210938,390351039002,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,103900,530183,0,1393,,
1394,,390351041001,CleOH,38.12932318,0.362661186,30.27362685,0.518838834,2678.253369,0.152985901,15.02171424,0.29165953,9196.319114,0.074267086,5.840936448,24.26386509,706,2,0.2832860052585602,123,17.422100067138672,46,6.515580177307129,342,48.44192634560906,303,55.09090909090909,1,0,2,0,905697.44,29208.448,71097.24904,2292.863168,0.278031259775,0.515598237514,15.9647151673,136.167042665,555.287102601,44.4105398755,108.635717928,150.501421921,1068.08248781,24.1023875691,0.790641,850.800249,46.368614,9.784203,38.030771,0.220357,0.087632,1.250676,0.453477,0.009444,66.70274,11.996284,44.922253,0.268002,0.109753,1.471884,0.559827,0.011486,905.6974399999999,29.208448,20.899999618530273,54.0099983215332,43.5099983215332,-888888,0,166.82,431.17,347.32,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,582,109,691,97.87999725341797,21.079999923706055,78.91999816894531,516,190,73.08999633789062,26.90999984741211,3,0.41999998688697815,0,0,0,0.000704715088487,0.110241130646,0.161020832432,0.230305648074,0.0903949647664,0.121247998341,50.832000732421875,390351041001,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,104100,564019,0,1394,,
1395,,390351041002,CleOH,14.62465641,0.139099395,11.61150735,0.198934353,1026.973523,0.058669236,5.76074321,0.111866701,3527.269894,0.028486012,2.24036013,9.306731179,389,1,0.2570689916610718,41,10.539799690246582,38,9.76863956451416,277,71.2082262210797,458,84.34622467771639,1,1,0,-99999,133759.86,4313.712,10500.14901,338.626392,0.184449255466,0.349113106728,2.35778304255,20.1099699079,82.0001107884,6.55886539358,16.0444084796,22.2271238019,157.742042462,3.55961256434,0.458658,163.938201,8.934632,1.885289,7.328038,0.04246,0.016886,0.240989,0.087379,0.00182,12.852755,2.311529,8.655937,0.051641,0.021148,0.283613,0.107871,0.002213,133.75985999999997,4.313712000000001,14.550000190734863,66.04000091552734,33.959999084472656,-888888,0,44.71,203.02,104.38,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,364,22,386,99.2300033569336,36.900001525878906,63.099998474121094,0,389,0,100,0,0,0,0,0,0.000490565307236,0.076816613985,0.112291806216,0.160618929709,0.0638675415319,0.0845583972686,28.007999420166016,390351041002,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,104100,119669,0,1395,,
1396,,390351042001,CleOH,10.06885463,0.106160145,8.790657447,0.169172753,822.0959811,0.048117049,4.724622031,0.095268189,2691.470376,0.024860014,1.955184671,6.868273497,551,18,3.2667899131774902,160,29.03809928894043,9,1.633389949798584,396,71.86932849364791,264,82.2429906542056,0,-99999,0,-99999,747306.51,24100.392,58663.561035,1891.880772,0.109505347908,0.200133636594,13.1727606239,112.353606168,458.11060043,36.6729875808,89.6370250644,146.815236256,1041.92226749,19.8872938594,0.337156,593.064223,32.322,6.820239,26.509971,0.153604,0.061086,0.871804,0.316103,0.006583,46.496235,8.362206,31.313791,0.186815,0.076505,1.026001,0.390236,0.008006,747.30651,24.100392,8.220000267028809,47.70000076293945,34.22999954223633,-888888,0,176.37,1023.4,734.34,-888888,210593,17.81999969482422,40.5099983215332,7.230000019073486,35.02000045776367,55784,4.71999979019165,34.0099983215332,12.180000305175781,51.5,369,78,447,81.12999725341797,10.180000305175781,89.81999969482422,213,338,38.65999984741211,61.34000015258789,24,4.360000133514404,0,0,1,0.000277258323798,0.0434577727384,0.0635807976227,0.110184856433,0.0366978873087,0.0478767906346,39.672000885009766,390351042001,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,104200,1187190,165629,1396,,
1397,,390351042002,CleOH,22.43366121,0.236528508,19.58589772,0.376933903,1831.709919,0.10720948,10.5269189,0.212263258,5996.757935,0.055389338,4.356246842,15.30280591,592,8,1.351349949836731,60,10.135100364685059,24,4.054049968719482,199,33.61486486486486,264,43.207855973813416,0,-99999,0,-99999,397080.84,12805.728,31170.84594,1005.249648,0.221002027392,0.405553609133,6.99933800077,59.6987847196,243.419840389,19.4861686858,47.6287968528,78.0101826458,553.62473584,10.5671009757,0.60603,394.505137,21.50053,4.536809,17.63438,0.102177,0.040634,0.579923,0.210271,0.004379,30.929203,5.562522,20.829871,0.124269,0.050891,0.682494,0.259584,0.005326,397.08084,12.805727999999998,17.049999237060547,56.869998931884766,38.220001220703125,-888888,0,87.22,290.96,195.53,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,292,177,469,79.22000122070312,25.559999465942383,74.44000244140625,527,65,89.0199966430664,10.979999542236328,4,0.6800000071525574,0,0,2,0.000574958541228,0.0899959553758,0.131512049011,0.227904368599,0.0745076822717,0.0990319770254,42.624000549316406,390351042002,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,104200,303038,0,1397,,
1398,,390351043001,CleOH,26.94794597,0.169055982,14.12628419,0.482778863,2061.001017,0.077078284,7.56833113,0.272135533,7749.201238,0.034001968,2.67418171,17.48231361,717,3,0.4184100031852722,52,7.252439975738525,14,1.9525799751281738,117,16.317991631799163,394,48.702101359703335,0,-99999,0,-99999,212705.4,6859.68,16697.3739,538.48488,0.206027701497,0.381234496832,3.74935489002,31.9792249988,130.392173141,10.4506506332,25.5135510059,41.7143566028,296.039553706,5.66050842414,0.52174,236.583538,12.893803,2.720711,10.575284,0.061275,0.024368,0.347778,0.126099,0.002626,18.548149,3.335828,12.491611,0.074524,0.030519,0.40929,0.155672,0.003194,212.7054,6.85968,15.84000015258789,62.43000030517578,37.56999969482422,-888888,0,38.58,152.05,91.51,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,19,0,19,2.6500000953674316,0,0,363,354,50.630001068115234,49.369998931884766,0,0,0,0,1,0.000534081930177,0.0836222994825,0.122218739158,0.211774823763,0.0691939811553,0.0920327035521,51.624000549316406,390351043001,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,104300,174758,0,1398,,
1399,,390351043002,CleOH,49.88366098,0.312941757,26.14935339,0.893689065,3815.187955,0.142682381,14.01000968,0.503753922,14344.65566,0.062941963,4.950250103,32.36200395,886,11,1.241529941558838,96,10.835200309753418,27,3.0473999977111816,278,31.376975169300223,590,57.28155339805825,1,0,3,0,553910.7,17863.44,43481.98995,1402.28004,0.312420040369,0.585995674133,9.76377558671,83.2778025255,339.559404882,27.2147637421,66.4408631348,108.629251847,770.92295927,14.740651547,0.934309,500.10971,27.255979,5.751262,22.354904,0.129528,0.051511,0.735161,0.266558,0.005551,39.208601,7.051547,26.405793,0.157535,0.064514,0.86519,0.329072,0.006751,553.9106999999999,17.863439999999997,23.729999542236328,51.54999923706055,48.45000076293945,-888888,0,81.3,176.62,166.03,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,198,179,377,42.54999923706055,0,0,505,381,57,43,0,0,0,0,2,0.000800059258818,0.125113955976,0.182669290398,0.31651356956,0.101770741047,0.137556084578,63.79199981689453,390351043002,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,104300,303827,0,1399,,
1400,,390351044001,CleOH,35.16033113,0.305933029,25.48693075,0.526437252,2614.651552,0.139859256,13.7328065,0.294089598,8938.802001,0.064879388,5.102627453,22.84817744,836,10,1.1961699724197388,124,14.832500457763672,57,6.818180084228516,296,35.406698564593306,648,60.5607476635514,1,0,0,-99999,974492.18,31427.056,76497.63613,2467.023896,0.220858082175,0.40957826376,17.1773590157,146.564138316,598.622627058,47.9311670987,116.886128632,190.864069728,1354.52919864,25.9331507059,0.732115,771.957067,42.07166,8.877506,34.506481,0.199937,0.079512,1.134777,0.411453,0.008569,60.521434,10.884595,40.759333,0.243166,0.099582,1.335486,0.507948,0.010421,974.4921800000001,31.427056,17.110000610351562,46.709999084472656,47.16999816894531,-888888,0,151.58,413.87,417.95,-888888,0,0,-99999,-99999,-99999,0,0,-99999,-99999,-99999,297,406,703,84.08999633789062,51.25,48.75,611,225,73.08999633789062,26.90999984741211,38,4.550000190734863,0,0,3,0.000576882625824,0.0903543593932,0.132226135103,0.228681776808,0.0746687241791,0.0993635679553,60.19200134277344,390351044001,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Cleveland, OH",39,035,104400,741278,0,1400,,
